id,catalogLevelId,subjectName,period,coverageStatus,units,moduleIndexCount,lessonsActivities,objectives,competencies,officialSource,structuredContent,themes,missingReason,applicability,expectedBasis
"annual-scope-v1-fr-primary-cp-langue-francaise","fr-primary-cp","Langue française","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-cp-subject-0""]","[""Expression orale"",""Lecture et littérature"",""Écriture"",""Étude de la langue""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-cp-english-language","fr-primary-cp","English language","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-cp-subject-1""]","[""Listening and speaking"",""Reading"",""Writing"",""Grammar and vocabulary""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-cp-langues-et-cultures-nationales","fr-primary-cp","Langues et cultures nationales","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-cp-subject-2""]","[""Communication orale"",""Culture nationale"",""Échanges et activités collectives""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-cp-initiation-aux-mathematiques","fr-primary-cp","Initiation aux mathématiques","YEAR","PARTIAL","8","0","0","8","8","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-math-v1-fr-primary-cp-1"",""annual-math-v1-fr-primary-cp-2"",""annual-math-v1-fr-primary-cp-3"",""annual-math-v1-fr-primary-cp-4"",""annual-math-v1-fr-primary-cp-5"",""annual-math-v1-fr-primary-cp-6"",""annual-math-v1-fr-primary-cp-7"",""annual-math-v1-fr-primary-cp-8""]","[""La maison"",""Le village, la ville"",""L’école"",""Les métiers"",""Les voyages"",""La santé"",""Les jeux"",""Les communications""]","Extraits annuels et objectifs documentés ; totalité des cellules et leçons non structurée. Anomalies exclues explicitement.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-cp-initiation-aux-sciences-et-a-la-technologie","fr-primary-cp","Initiation aux sciences et à la technologie","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-cp-subject-4""]","[""Sciences de la vie"",""Matière"",""Technologie"",""Activités agropastorales"",""Environnement""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-cp-technologies-de-l-information-et-de-la-communication","fr-primary-cp","Technologies de l’information et de la communication","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-cp-subject-5""]","[""Environnement informatique"",""Usages responsables"",""Santé et sécurité""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-cp-sciences-humaines-et-sociales","fr-primary-cp","Sciences humaines et sociales","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-cp-subject-6""]","[""Vie collective"",""Droits et devoirs"",""Citoyenneté"",""Paix et sécurité""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-cp-education-artistique","fr-primary-cp","Éducation artistique","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-cp-subject-7""]","[""Arts visuels"",""Musique"",""Arts dramatiques"",""Danse""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-cp-education-physique-et-sportive","fr-primary-cp","Éducation physique et sportive","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-cp-subject-8""]","[""Activités athlétiques"",""Sports collectifs"",""Coordination corporelle""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-cp-developpement-personnel","fr-primary-cp","Développement personnel","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-cp-subject-9""]","[""Artisanat"",""Activités agropastorales"",""Vie domestique""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce1-francais-et-litterature","fr-primary-ce1","Français et littérature","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce1-subject-0""]","[""Expression orale"",""Lecture et littérature"",""Écriture"",""Étude de la langue""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce1-english-language","fr-primary-ce1","English language","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce1-subject-1""]","[""Listening and speaking"",""Reading"",""Writing"",""Grammar and vocabulary""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce1-langues-et-cultures-nationales","fr-primary-ce1","Langues et cultures nationales","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce1-subject-2""]","[""Communication orale"",""Culture nationale"",""Échanges et activités collectives""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce1-mathematiques","fr-primary-ce1","Mathématiques","YEAR","PARTIAL","8","0","0","8","8","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-math-v1-fr-primary-ce1-1"",""annual-math-v1-fr-primary-ce1-2"",""annual-math-v1-fr-primary-ce1-3"",""annual-math-v1-fr-primary-ce1-4"",""annual-math-v1-fr-primary-ce1-5"",""annual-math-v1-fr-primary-ce1-6"",""annual-math-v1-fr-primary-ce1-7"",""annual-math-v1-fr-primary-ce1-8""]","[""La maison"",""Le village, la ville"",""L’école"",""Les métiers"",""Les voyages"",""La santé"",""Les jeux"",""Les communications""]","Extraits annuels et objectifs documentés ; totalité des cellules et leçons non structurée. Anomalies exclues explicitement.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce1-sciences-et-technologies","fr-primary-ce1","Sciences et technologies","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce1-subject-4""]","[""Sciences de la vie"",""Matière"",""Technologie"",""Activités agropastorales"",""Environnement""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce1-technologies-de-l-information-et-de-la-communication","fr-primary-ce1","Technologies de l’information et de la communication","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce1-subject-5""]","[""Environnement informatique"",""Usages responsables"",""Santé et sécurité"",""Production numérique"",""Internet"",""Programmation élémentaire""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce1-sciences-humaines-et-sociales","fr-primary-ce1","Sciences humaines et sociales","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce1-subject-6""]","[""Vie collective"",""Droits et devoirs"",""Citoyenneté"",""Paix et sécurité"",""Histoire"",""Géographie""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce1-education-artistique","fr-primary-ce1","Éducation artistique","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce1-subject-7""]","[""Arts visuels"",""Musique"",""Arts dramatiques"",""Danse""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce1-education-physique-et-sportive","fr-primary-ce1","Éducation physique et sportive","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce1-subject-8""]","[""Activités athlétiques"",""Sports collectifs"",""Coordination corporelle""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce1-developpement-personnel","fr-primary-ce1","Développement personnel","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce1-subject-9""]","[""Artisanat"",""Activités agropastorales"",""Vie domestique""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce2-francais-et-litterature","fr-primary-ce2","Français et littérature","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce2-subject-0""]","[""Expression orale"",""Lecture et littérature"",""Écriture"",""Étude de la langue""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce2-english-language","fr-primary-ce2","English language","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce2-subject-1""]","[""Listening and speaking"",""Reading"",""Writing"",""Grammar and vocabulary""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce2-langues-et-cultures-nationales","fr-primary-ce2","Langues et cultures nationales","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce2-subject-2""]","[""Communication orale"",""Culture nationale"",""Échanges et activités collectives""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce2-mathematiques","fr-primary-ce2","Mathématiques","YEAR","PARTIAL","8","0","0","8","8","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-math-v1-fr-primary-ce2-1"",""annual-math-v1-fr-primary-ce2-2"",""annual-math-v1-fr-primary-ce2-3"",""annual-math-v1-fr-primary-ce2-4"",""annual-math-v1-fr-primary-ce2-5"",""annual-math-v1-fr-primary-ce2-6"",""annual-math-v1-fr-primary-ce2-7"",""annual-math-v1-fr-primary-ce2-8""]","[""La maison"",""Le village, la ville"",""L’école"",""Les métiers"",""Les voyages"",""La santé"",""Les jeux"",""Les communications""]","Extraits annuels et objectifs documentés ; totalité des cellules et leçons non structurée. Anomalies exclues explicitement.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce2-sciences-et-technologies","fr-primary-ce2","Sciences et technologies","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce2-subject-4""]","[""Sciences de la vie"",""Matière"",""Technologie"",""Activités agropastorales"",""Environnement""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-ce2-technologies-de-l-information-et-de-la-communication","fr-primary-ce2","Technologies de l’information et de la communication","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-2"",""url"":""https://www.minedub.cm/download/350/archives/5868/02-programme-niveau-02-2019.pdf"",""version"":""6dc059638d59463d55f12d6c9488bf04fa1ae9c00e1d51891f80702108dce6a2""}]","[""annual-gap-v1-fr-primary-ce2-subject-5""]","[""Environnement informatique"",""Usages responsables"",""Santé et sécurité"",""Production numérique"",""Internet"",""Programmation élémentaire""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
